,Show,6/14
0,FOX AND FRIENDS,884
1,FOX AND FRIENDS,1113
2,FOX AND FRIENDS,1315
3,AMERICAS NEWSROOM,1271
4,AMERICAS NEWSROOM,1317
5,"FAULKNER FOCUS, THE",1277
6,OUTNUMBERED,1428
7,AMERICA REPORTS,1280
8,AMERICA REPORTS,1218
9,"STORY, THE",1153
10,YOUR WORLD W/NEIL CAVUTO,1207
11,"FIVE, THE",2682
12,SPECIAL RPT W/BRET BAIER,1832
13,JESSE WATTERS PRIMETIME,2108
14,FOX NEWS TONIGHT,1586
15,HANNITY,2087
16,"INGRAHAM ANGLE, THE",1707
17,GUTFELD!,1773
