,Show,6/20
0,FOX AND FRIENDS,795
1,FOX AND FRIENDS,1090
2,FOX AND FRIENDS,1215
3,AMERICAS NEWSROOM,1468
4,AMERICAS NEWSROOM,1415
5,"FAULKNER FOCUS, THE",1243
6,OUTNUMBERED,1417
7,AMERICA REPORTS,1336
8,AMERICA REPORTS,1122
9,"STORY, THE",1117
10,YOUR WORLD W/NEIL CAVUTO,1140
11,"FIVE, THE",2703
12,SPECIAL RPT W/BRET BAIER,2166
13,JESSE WATTERS PRIMETIME,2123
14,FOX NEWS TONIGHT,1677
15,HANNITY,1769
16,"INGRAHAM ANGLE, THE",1621
17,GUTFELD!,1634
