,Show,6/16
0,FOX AND FRIENDS,720
1,FOX AND FRIENDS,1034
2,FOX AND FRIENDS,1195
3,AMERICAS NEWSROOM,1221
4,AMERICAS NEWSROOM,1258
5,"FAULKNER FOCUS, THE",1126
6,OUTNUMBERED,1329
7,AMERICA REPORTS,1055
8,AMERICA REPORTS,883
9,"STORY, THE",953
10,YOUR WORLD W/NEIL CAVUTO,970
11,"FIVE, THE",2299
12,SPECIAL RPT W/BRET BAIER,1593
13,JESSE WATTERS PRIMETIME,1772
14,FOX NEWS TONIGHT,1487
15,HANNITY,1574
16,"INGRAHAM ANGLE, THE",1239
17,GUTFELD!,1567
