,Show,6/22
0,FOX AND FRIENDS,828
1,FOX AND FRIENDS,1176
2,FOX AND FRIENDS,1420
3,AMERICAS NEWSROOM,1453
4,AMERICAS NEWSROOM,1507
5,"FAULKNER FOCUS, THE",1520
6,OUTNUMBERED,1732
7,AMERICA REPORTS,1563
8,AMERICA REPORTS,1452
9,"STORY, THE",1986
10,YOUR WORLD W/NEIL CAVUTO,1677
11,"FIVE, THE",2718
12,SPECIAL RPT W/BRET BAIER,1980
13,JESSE WATTERS PRIMETIME,2250
14,FOX NEWS TONIGHT,1715
15,HANNITY,2084
16,"INGRAHAM ANGLE, THE",1845
17,GUTFELD!,1732
