,Show,6/28
0,FOX AND FRIENDS,737
1,FOX AND FRIENDS,1065
2,FOX AND FRIENDS,1199
3,AMERICAS NEWSROOM,1360
4,AMERICAS NEWSROOM,1335
5,"FAULKNER FOCUS, THE",1251
6,OUTNUMBERED,1404
7,AMERICA REPORTS,1055
8,AMERICA REPORTS,1007
9,"STORY, THE",1062
10,YOUR WORLD W/NEIL CAVUTO,1090
11,"FIVE, THE",2569
12,SPECIAL RPT W/BRET BAIER,2227
13,JESSE WATTERS PRIMETIME,2213
14,FOX NEWS TONIGHT,1512
15,HANNITY,1976
16,"INGRAHAM ANGLE, THE",1809
17,GUTFELD!,1599
