,Show,6/13
0,FOX AND FRIENDS,809
1,FOX AND FRIENDS,1111
2,FOX AND FRIENDS,1310
3,AMERICAS NEWSROOM,1301
4,AMERICAS NEWSROOM,1394
5,"FAULKNER FOCUS, THE",1452
6,OUTNUMBERED,1377
7,AMERICA REPORTS,1458
8,AMERICA REPORTS,1725
9,"STORY, THE",1747
10,YOUR WORLD W/NEIL CAVUTO,1734
11,"FIVE, THE",2984
12,SPECIAL RPT W/BRET BAIER,2028
13,JESSE WATTERS PRIMETIME,2454
14,FOX NEWS TONIGHT,2413
15,HANNITY,2867
16,"INGRAHAM ANGLE, THE",1979
17,GUTFELD!,1607
