,Show,6/2
0,FOX AND FRIENDS,832
1,FOX AND FRIENDS,1197
2,FOX AND FRIENDS,1244
3,AMERICAS NEWSROOM,1265
4,AMERICAS NEWSROOM,1278
5,"FAULKNER FOCUS, THE",1304
6,OUTNUMBERED,1374
7,AMERICA REPORTS,1093
8,AMERICA REPORTS,999
9,"STORY, THE",1032
10,YOUR WORLD W/NEIL CAVUTO,1057
11,"FIVE, THE",2288
12,SPECIAL RPT W/BRET BAIER,1471
13,JESSE WATTERS PRIMETIME,1786
14,FOX NEWS TONIGHT,1489
15,HANNITY,1750
16,"INGRAHAM ANGLE, THE",1283
17,GUTFELD!,1472
