,Show,6/23
0,FOX AND FRIENDS,787
1,FOX AND FRIENDS,1072
2,FOX AND FRIENDS,1343
3,AMERICAS NEWSROOM,1420
4,AMERICAS NEWSROOM,1449
5,"FAULKNER FOCUS, THE",1281
6,OUTNUMBERED,1387
7,AMERICA REPORTS,1377
8,AMERICA REPORTS,1235
9,"STORY, THE",1266
10,YOUR WORLD W/NEIL CAVUTO,1250
11,"FIVE, THE",2540
12,SPECIAL RPT W/BRET BAIER,1731
13,JESSE WATTERS PRIMETIME,1679
14,FOX NEWS TONIGHT,1371
15,HANNITY,1592
16,"INGRAHAM ANGLE, THE",1539
17,GUTFELD!,1584
