,Show,6/15
0,FOX AND FRIENDS,841
1,FOX AND FRIENDS,1139
2,FOX AND FRIENDS,1328
3,AMERICAS NEWSROOM,1308
4,AMERICAS NEWSROOM,1320
5,"FAULKNER FOCUS, THE",1340
6,OUTNUMBERED,1467
7,AMERICA REPORTS,1181
8,AMERICA REPORTS,1024
9,"STORY, THE",1161
10,YOUR WORLD W/NEIL CAVUTO,1159
11,"FIVE, THE",2499
12,SPECIAL RPT W/BRET BAIER,1666
13,JESSE WATTERS PRIMETIME,2039
14,FOX NEWS TONIGHT,1625
15,HANNITY,1941
16,"INGRAHAM ANGLE, THE",1742
17,GUTFELD!,1707
