,Show,6/27
0,FOX AND FRIENDS,721
1,FOX AND FRIENDS,1022
2,FOX AND FRIENDS,1237
3,AMERICAS NEWSROOM,1335
4,AMERICAS NEWSROOM,1342
5,"FAULKNER FOCUS, THE",1399
6,OUTNUMBERED,1554
7,AMERICA REPORTS,1265
8,AMERICA REPORTS,1193
9,"STORY, THE",1224
10,YOUR WORLD W/NEIL CAVUTO,1185
11,"FIVE, THE",2629
12,SPECIAL RPT W/BRET BAIER,1736
13,JESSE WATTERS PRIMETIME,2080
14,FOX NEWS TONIGHT,1530
15,HANNITY,1773
16,"INGRAHAM ANGLE, THE",1630
17,GUTFELD!,1682
