,Show,6/21
0,FOX AND FRIENDS,854
1,FOX AND FRIENDS,1177
2,FOX AND FRIENDS,1308
3,AMERICAS NEWSROOM,1533
4,AMERICAS NEWSROOM,1551
5,"FAULKNER FOCUS, THE",1517
6,OUTNUMBERED,1643
7,AMERICA REPORTS,1473
8,AMERICA REPORTS,1276
9,"STORY, THE",1371
10,YOUR WORLD W/NEIL CAVUTO,1402
11,"FIVE, THE",2712
12,SPECIAL RPT W/BRET BAIER,1989
13,JESSE WATTERS PRIMETIME,2087
14,FOX NEWS TONIGHT,1751
15,HANNITY,2072
16,"INGRAHAM ANGLE, THE",1690
17,GUTFELD!,1657
