,Show,6/9
0,FOX AND FRIENDS,827
1,FOX AND FRIENDS,1089
2,FOX AND FRIENDS,1205
3,AMERICAS NEWSROOM,1325
4,AMERICAS NEWSROOM,1288
5,"FAULKNER FOCUS, THE",1241
6,OUTNUMBERED,1285
7,AMERICA REPORTS,1195
8,AMERICA REPORTS,1201
9,"STORY, THE",1250
10,YOUR WORLD W/NEIL CAVUTO,1225
11,"FIVE, THE",2579
12,SPECIAL RPT W/BRET BAIER,1572
13,JESSE WATTERS PRIMETIME,1842
14,FOX NEWS TONIGHT,1524
15,HANNITY,1706
16,"INGRAHAM ANGLE, THE",1349
17,GUTFELD!,1486
