,Show,6/6
0,FOX AND FRIENDS,773
1,FOX AND FRIENDS,1121
2,FOX AND FRIENDS,1259
3,AMERICAS NEWSROOM,1337
4,AMERICAS NEWSROOM,1276
5,"FAULKNER FOCUS, THE",1255
6,OUTNUMBERED,1323
7,AMERICA REPORTS,1144
8,AMERICA REPORTS,1024
9,"STORY, THE",1008
10,YOUR WORLD W/NEIL CAVUTO,1049
11,"FIVE, THE",2479
12,SPECIAL RPT W/BRET BAIER,1673
13,JESSE WATTERS PRIMETIME,1872
14,FOX NEWS TONIGHT,1584
15,HANNITY,1709
16,"INGRAHAM ANGLE, THE",1442
17,GUTFELD!,1546
