,Show,6/8
0,FOX AND FRIENDS,844
1,FOX AND FRIENDS,1106
2,FOX AND FRIENDS,1265
3,AMERICAS NEWSROOM,1320
4,AMERICAS NEWSROOM,1322
5,"FAULKNER FOCUS, THE",1295
6,OUTNUMBERED,1432
7,AMERICA REPORTS,1247
8,AMERICA REPORTS,1119
9,"STORY, THE",1170
10,YOUR WORLD W/NEIL CAVUTO,1267
11,"FIVE, THE",2588
12,SPECIAL RPT W/BRET BAIER,1727
13,JESSE WATTERS PRIMETIME,2212
14,FOX NEWS TONIGHT,1904
15,HANNITY,2304
16,"INGRAHAM ANGLE, THE",2256
17,GUTFELD!,1801
